,Date,Day of Week,Is Weekday,Is Weekend,Calories Burned,Calories BMR,Steps,Distance (Km),Elevation (Ft),Resting Heart Rate,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Active Score,Cardio minutes,Cardio calories,Fat Burn minutes,Fat Burn calories,Peak minutes,Peak calories,Normal Cardio calories,Normal Cardio minutes,Sleep Efficiency,Minutes Asleep,Minutes to fall asleep,Sleep Start time,Sleep End time,Time in bed,Minutes Deep sleep,Deep sleep count,Minutes Light sleep,Light sleep count,Minutes REM sleep,REM sleep count,Minutes Awake,Minutes Awake count,% Deep sleep,% Light sleep,% REM sleep
45,2018-08-08,3,TRUE,FALSE,2371,1680,4808,3.64,0,60,0,1237,190,10,3,842,-1,2,21.35976,47,246.51264,0,0,1508.95616,883,,,,,,,,,,,,,,,,,
46,2018-08-09,4,TRUE,FALSE,2803,1680,9082,6.01,18.29,59,6,1145,259,14,22,1364,-1,0,0,99,602.45702,0,0,2072.7696,1233,,,,,,,,,,,,,,,,,
47,2018-08-10,5,TRUE,FALSE,3046,1680,8817,5.86,21.34,59,7,1154,193,22,71,1546,-1,14,148.83075,159,906.17499,0,0,1403.44479,789,,,,,,,,,,,,,,,,,
48,2018-08-11,6,FALSE,TRUE,3186,1680,12643,8.32,94.49,58,31,1104,249,33,54,1744,-1,14,153.35694,149,916.87376,1,12.37126,2067.75107,1248,,,,,,,,,,,,,,,,,
49,2018-08-12,7,FALSE,TRUE,2094,1680,2456,1.52,9.14,59,3,1308,132,0,0,506,-1,0,0,15,60.2172,0,0,851.0931,416,95,371,0,2018-08-12T23:23:30.000,2018-08-13T06:33:30.000,430,80,4,205,34,86,6,59,33,19,48,20
50,2018-08-13,1,TRUE,FALSE,2733,1680,6609,3.94,33.53,60,11,762,183,44,21,1179,-1,0,0,126,696.00136,0,0,1906.27104,1202,95,371,0,2018-08-13T22:46:30.000,2018-08-14T05:40:00.000,413,47,3,259,25,65,8,42,26,12,63,16
51,2018-08-14,2,TRUE,FALSE,3770,1680,12875,8.75,24.38,61,8,626,206,75,120,2384,-1,22,229.68528,301,1649.46243,8,105.039,1679.34019,1051,95,384,0,2018-08-14T23:24:30.000,2018-08-15T06:34:30.000,430,97,5,220,27,67,9,46,31,23,52,16
52,2018-08-15,3,TRUE,FALSE,2961,1680,8611,5.34,12.19,62,4,715,180,63,52,1512,-1,8,54.62964,161,968.15862,0,0,1885.88988,1227,99,378,0,2018-08-15T23:11:30.000,2018-08-16T06:09:00.000,417,86,5,198,26,94,3,39,25,21,48,23
53,2018-08-16,4,TRUE,FALSE,2914,1680,6952,4.25,21.34,63,7,724,241,43,15,1399,-1,7,46.22112,152,778.98928,1,6.53632,2051.00384,1256,90,393,0,2018-08-16T22:16:30.000,2018-08-17T06:01:30.000,465,106,5,211,32,76,6,72,30,23,46,17
54,2018-08-17,5,TRUE,FALSE,2320,1680,4447,2.65,9.14,63,3,796,179,0,0,714,-1,0,0,75,194.7723,0,0,2112.3867,1354,,,,,,,,,,,,,,,,,
55,2018-08-18,6,FALSE,TRUE,3163,1680,15528,10.22,18.29,64,6,1113,182,59,86,1801,-1,3,30.3498,200,1279.01061,0,0,843.37425,378,91,355,0,2018-08-19T02:22:30.000,2018-08-19T09:07:30.000,405,84,3,190,27,81,6,50,28,21,47,20
56,2018-08-19,7,FALSE,TRUE,2927,1680,12424,8.27,15.24,65,5,715,271,34,15,1511,-1,0,0,130,733.23504,0,0,2022.7576,1169,,,,,,,,,,,,,,,,,
57,2018-08-20,1,TRUE,FALSE,2757,1680,6548,4.3,18.29,64,6,1183,202,20,35,1256,-1,16,159.42586,123,614.59486,0,0,1502.40783,893,96,375,0,2018-08-20T22:28:00.000,2018-08-21T05:42:30.000,434,68,4,251,36,56,6,59,37,16,58,13
58,2018-08-21,2,TRUE,FALSE,2949,1681,11708,7.43,12.19,62,4,714,171,49,72,1503,-1,2,18.91188,144,929.13366,0,0,1952.24302,1260,96,393,0,2018-08-21T22:05:30.000,2018-08-22T05:33:30.000,448,74,4,271,29,48,5,55,31,17,61,11
59,2018-08-22,3,TRUE,FALSE,3291,1680,9556,6.42,51.82,62,17,689,155,63,85,1791,-1,24,249.43064,236,1267.92936,0,0,1626.25976,1063,97,358,0,2018-08-22T22:32:30.000,2018-08-23T05:27:00.000,414,61,4,190,28,107,8,56,28,15,46,26
60,2018-08-23,4,TRUE,FALSE,3163,1680,12264,8.04,27.43,63,9,710,202,34,80,1698,-1,11,110.40766,217,1199.42867,0,0,1795.58335,1173,98,373,0,2018-08-23T22:55:00.000,2018-08-24T05:53:00.000,418,73,5,234,35,66,9,45,36,18,56,16
61,2018-08-24,5,TRUE,FALSE,3114,1680,12716,8.37,18.29,63,6,692,230,32,68,1676,-1,6,59.517,201,1062.3201,0,0,1950.8739,1197,94,312,0,2018-08-24T23:02:30.000,2018-08-25T04:43:00.000,340,60,3,161,23,91,6,28,20,18,48,27
62,2018-08-25,6,FALSE,TRUE,2718,1680,8609,5.53,27.43,63,9,838,181,50,31,1281,-1,19,30.58326,369,1052.32095,0,0,1620.44586,1041,,,,,,,,,,,,,,,,,
63,2018-08-26,7,FALSE,TRUE,2585,1680,6541,4.25,39.62,63,13,1149,234,54,3,1183,-1,42,49.0224,517,920.80408,0,0,1564.28144,841,94,387,0,2018-08-26T23:09:00.000,2018-08-27T06:16:30.000,427,80,5,218,29,89,5,40,28,19,52,21
64,2018-08-27,1,TRUE,FALSE,2401,1680,5264,3.37,21.34,61,7,840,147,8,18,778,-1,1,10.96886,60,322.29778,0,0,1826.78195,1172,96,383,0,2018-08-27T22:36:30.000,2018-08-28T06:03:30.000,447,82,5,229,34,72,7,64,31,19,52,17
65,2018-08-28,2,TRUE,FALSE,2295,1680,3041,1.61,18.29,60,6,845,148,0,0,590,-1,0,0,28,123.6914,0,0,2113.37259,1364,97,369,0,2018-08-28T22:41:30.000,2018-08-29T05:51:30.000,430,69,5,221,32,79,8,61,32,17,52,19
66,2018-08-29,3,TRUE,FALSE,3113,1680,10386,6.89,12.19,60,4,701,196,49,64,1616,-1,4,40.37474,214,1157.21473,0,0,1887.69413,1200,97,399,0,2018-08-29T22:20:30.000,2018-08-30T05:55:30.000,455,83,4,232,37,84,9,56,37,19,51,19
67,2018-08-30,4,TRUE,FALSE,2680,1680,4673,2.9,24.38,60,8,747,186,22,30,1139,-1,17,128.359,112,562.56249,2,14.81963,1809.39514,1169,96,377,0,2018-08-30T22:39:00.000,2018-08-31T06:00:30.000,441,75,4,194,33,108,11,64,35,18,44,25
68,2018-08-31,5,TRUE,FALSE,3728,1680,17219,11.78,15.24,62,5,609,202,53,135,2353,-1,30,314.01279,276,1612.77249,2,24.97166,1601.57025,990,,,,,,,,,,,,,,,,,
69,2018-09-01,6,FALSE,TRUE,3010,1680,10646,6.81,0,62,0,1046,360,32,2,1681,-1,0,0,137,694.3055,0,0,1809.74521,875,97,441,0,2018-09-01T23:11:30.000,2018-09-02T07:29:30.000,498,54,3,276,44,111,11,57,41,11,56,23
70,2018-09-02,7,FALSE,TRUE,2980,1680,11392,7.06,27.43,61,9,578,310,27,27,1616,-1,0,0,108,645.99584,0,0,2309.41179,1317,96,338,0,2018-09-02T23:52:30.000,2018-09-03T06:23:30.000,391,74,3,218,28,46,6,53,28,19,56,12
71,2018-09-03,1,TRUE,FALSE,2590,1680,6393,4.1,39.62,62,13,825,170,35,19,1027,-1,0,0,92,482.39646,0,0,2013.48595,1319,97,368,0,2018-09-03T22:42:00.000,2018-09-04T05:56:30.000,434,91,3,230,29,47,5,66,28,21,53,11
72,2018-09-04,2,TRUE,FALSE,3125,1680,11046,7.37,21.34,61,7,728,149,31,98,1624,-1,16,165.23304,181,1097.35276,0,0,1712.30906,1128,96,371,0,2018-09-04T22:41:30.000,2018-09-05T05:41:30.000,420,54,4,224,29,93,9,49,32,13,54,23
73,2018-09-05,3,TRUE,FALSE,2575,1680,7465,4.83,24.38,61,8,806,180,13,21,990,-1,0,0,72,449.37319,0,0,2098.0862,1350,99,397,0,2018-09-05T22:58:30.000,2018-09-06T06:15:30.000,437,53,6,267,32,77,7,40,34,13,62,18
74,2018-09-06,4,TRUE,FALSE,3016,1680,7591,4.83,36.58,62,12,712,191,59,41,1503,-1,3,28.58905,207,1087.66749,0,0,1893.06187,1224,99,367,0,2018-09-06T22:42:30.000,2018-09-07T05:42:30.000,420,46,4,250,32,71,6,53,32,11,60,17
75,2018-09-07,5,TRUE,FALSE,2369,1680,4157,2.54,6.1,63,2,844,167,9,0,743,-1,0,0,73,324.86496,0,0,1980.69606,1325,97,353,0,2018-09-07T23:16:30.000,2018-09-08T06:11:00.000,414,70,4,219,25,64,6,61,24,17,53,16
76,2018-09-08,6,FALSE,TRUE,2530,1680,6605,4.14,48.77,62,16,746,280,0,0,1083,-1,0,0,52,262.43581,0,0,2231.57956,1361,96,471,0,2018-09-08T23:08:30.000,2018-09-09T08:15:00.000,546,85,5,286,31,100,9,75,32,16,53,19
77,2018-09-09,7,FALSE,TRUE,2290,1680,3469,2.01,24.38,63,8,697,197,0,0,729,-1,0,0,31,127.1921,0,0,2151.7636,1403,,,,,,,,,,,,,,,,,
78,2018-09-10,1,TRUE,FALSE,2548,1680,4478,2.98,36.58,65,12,1259,150,14,17,903,-1,0,0,225,867.0067,0,0,930.0193,571,95,384,0,2018-09-10T23:02:30.000,2018-09-11T06:14:00.000,431,63,4,223,32,98,14,47,37,15,52,23
79,2018-09-11,2,TRUE,FALSE,3044,1680,8649,5.4,33.53,65,11,666,289,38,16,1646,-1,1,9.10182,258,1216.60994,0,0,1736.81396,1154,96,381,0,2018-09-11T22:40:00.000,2018-09-12T05:53:00.000,433,78,4,204,32,99,9,52,33,19,48,23
80,2018-09-12,3,TRUE,FALSE,2951,1680,5539,3.31,3.05,65,1,712,223,26,46,1417,-1,20,160.79882,211,862.10572,3,36.05721,1867.50676,1191,97,360,0,2018-09-13T00:21:00.000,2018-09-13T07:00:00.000,399,73,5,236,36,51,5,39,33,19,60,13
81,2018-09-13,4,TRUE,FALSE,2845,1680,7655,5.1,33.53,66,11,781,185,39,36,1293,-1,1,9.3352,195,971.56094,0,0,1829.34913,1222,96,405,0,2018-09-13T22:47:00.000,2018-09-14T06:29:30.000,462,72,2,260,31,73,5,57,29,16,57,16
82,2018-09-14,5,TRUE,FALSE,547,507,138,0.09,0,,0,0,11,0,0,49,-1,0,0,9,36.40728,0,0,468.97711,390,,,,,,,,,,,,,,,,,
83,2018-09-15,6,FALSE,TRUE,2849,1680,8729,5.56,6.1,68,2,649,332,8,2,1429,-1,0,0,156,683.68671,0,0,2146.39586,1273,96,374,0,2018-09-16T00:31:00.000,2018-09-16T07:46:30.000,435,61,4,232,29,81,7,61,27,15,54,19
84,2018-09-16,7,FALSE,TRUE,2758,1680,10454,6.72,73.15,67,24,668,337,0,0,1388,-1,0,0,69,379.35919,0,0,2371.1408,1366,98,393,0,2018-09-16T22:20:30.000,2018-09-17T05:43:00.000,442,95,3,228,29,70,7,49,31,22,52,16
85,2018-09-17,1,TRUE,FALSE,2900,1680,7851,4.95,33.53,67,11,736,201,22,39,1333,-1,19,194.52223,234,875.29169,0,0,1786.05714,1160,97,387,0,2018-09-17T22:40:30.000,2018-09-18T05:58:30.000,438,65,4,259,30,63,5,51,30,15,60,15
86,2018-09-18,2,TRUE,FALSE,2935,1680,9979,6.57,27.43,67,9,740,183,24,55,1409,-1,26,270.95418,172,829.43252,1,12.13576,1684.42015,1128,99,434,0,2018-09-18T22:40:00.000,2018-09-19T06:28:30.000,468,83,5,248,33,103,12,34,37,18,53,23
87,2018-09-19,3,TRUE,FALSE,3326,1680,11274,7.36,21.34,66,7,606,276,33,57,1863,-1,22,226.3786,360,1404.71422,0,0,1663.29926,1038,99,377,0,2018-09-19T23:18:00.000,2018-09-20T06:20:30.000,422,65,2,239,31,73,7,45,31,16,57,18
88,2018-09-20,4,TRUE,FALSE,3398,1680,11535,7.44,12.19,67,4,650,225,59,84,2000,-1,26,251.70033,282,1420.81744,0,0,1686.75395,1105,98,394,0,2018-09-20T23:15:00.000,2018-09-21T06:56:30.000,461,96,6,203,30,95,11,67,28,21,45,21
89,2018-09-21,5,TRUE,FALSE,2595,1680,7443,4.84,48.77,66,16,698,256,23,2,1135,-1,0,0,68,325.68179,0,0,2172.18435,1298,97,,0,2018-09-22T14:53:00.000,2018-09-22T16:46:00.000,113,,,,,,,,,,,
90,2018-09-22,6,FALSE,TRUE,4085,1680,25570,16.62,320.04,65,105,658,581,78,10,3089,-1,0,0,350,1736.3472,0,0,2283.85668,1051,97,489,0,2018-09-22T22:43:00.000,2018-09-23T08:17:30.000,574,108,6,236,38,145,15,85,37,19,42,26
91,2018-09-23,7,FALSE,TRUE,2717,1680,8899,6.28,18.29,64,6,605,205,23,33,1256,-1,10,103.97079,100,488.11427,1,13.30266,2092.60177,1323,,,,,,,,,,,,,,,,,
92,2018-09-24,1,TRUE,FALSE,3047,1680,10833,5.98,27.43,63,9,1113,293,15,19,1565,-1,0,0,303,1293.27527,0,0,1697.72281,1102,98,425,0,2018-09-24T22:52:00.000,2018-09-25T06:38:00.000,466,57,5,262,31,106,12,41,31,13,57,23
93,2018-09-25,2,TRUE,FALSE,2832,1543,10069,6.87,24.38,63,8,580,192,39,46,1422,-1,0,0,225,1082.99989,0,0,1706.82463,1063,,,,,,,,,,,,,,,,,
94,2018-09-26,3,TRUE,FALSE,2276,1680,4892,3.19,24.38,63,8,898,138,3,12,657,-1,0,0,39,231.86303,0,0,1699.0064,1105,97,376,0,2018-09-26T22:57:00.000,2018-09-27T06:04:00.000,427,72,4,229,31,75,7,51,33,17,54,18
95,2018-09-27,4,TRUE,FALSE,3036,1680,9433,6.96,3.05,63,1,710,227,35,41,1531,-1,6,70.59745,205,991.51493,2,28.58905,1921.65092,1213,99,380,0,2018-09-27T22:55:00.000,2018-09-28T06:10:30.000,435,83,3,198,32,99,10,55,35,20,46,23
96,2018-09-28,5,TRUE,FALSE,2973,1680,8652,5.75,24.38,63,8,762,157,22,64,1412,-1,16,172.00106,176,882.40978,10,123.34133,1634.36014,1107,97,398,0,2018-09-28T22:41:00.000,2018-09-29T06:37:30.000,476,54,4,243,32,101,8,78,35,12,52,22
97,2018-09-29,6,FALSE,TRUE,3020,1680,10748,6.66,30.48,63,10,566,382,9,7,1698,-1,0,0,147,721.96103,0,0,2221.42753,1242,94,385,0,2018-09-30T01:24:00.000,2018-09-30T08:47:00.000,443,37,2,261,33,87,7,58,28,9,59,20
98,2018-09-30,7,FALSE,TRUE,3185,1680,12775,9.29,12.19,64,4,631,288,39,39,1826,-1,25,284.02346,158,815.19634,0,0,2064.01272,1238,95,397,0,2018-09-30T23:11:00.000,2018-10-01T06:31:30.000,440,109,2,183,25,105,14,43,31,25,42,24
